processTimeValues:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),,queueingTime:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),,serverUtilization:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),,responseTime:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),,queueLength:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),
0.636699603653,0.357594682485799951,0.636699603653,0,0.636699603653,0,0.994294286139,0.357594682486000013,7.52323296914,1
1.35554791444,0.301381685188970015,1.35554791444,0,0.994294286139,0.359646723782949926,1.656929599629,0.301381685188999991,7.7149537298,1
2.8432312841,0.272441588691439971,2.8432312841,0,1.35554791444,0.26380084294824002,3.115672872791,0.27244158869099999,8.110816246514,0
4.404467552808,0.21182739839422998,4.404467552808,0,1.656929599629,0.397709334073430007,4.616294951202,0.211827398393999998,8.592647628543,0
5.90763879617,0.322947057546119963,5.90763879617,0,2.8432312841,0.231770229653899982,6.230585853716,0.322947057545999948,10.504496836771,0
6.689243937285,0.218793604988600008,6.689243937285,0,3.115672872791,0.298946004408879971,6.908037542274,0.218793604988999966,13.46875386385,0
7.077346468262,0.445886500878259982,7.077346468262,0,4.404467552808,0.21147118129458997,7.52323296914,0.445886500877999967,16.374984467803,0
7.359873779572,0.481831382028759967,7.52323296914,0.116651454294000005,4.616294951202,0.247654313003179969,7.7149537298,0.308372214954000021,24.674098098433,0
7.406581514846,0.19172076066025001,7.7149537298,0.053687302280999993,5.90763879617,0.193519846795839999,8.110816246514,0.449549818995000015,25.456796661257,0
7.661266427519,0.395862516714259981,8.110816246514,0.75094246694199995,6.230585853716,0.235321757332270008,8.592647628543,1.23277384897100006,26.587091565491,0
8.18082350612,0.264447460765949936,8.592647628543,0.411824122422999926,6.689243937285,0.219186566681119964,8.857095089309,0.676271583189000045,27.233800315523,0
9.51859246638,0.284022281877699955,9.51859246638,0,6.908037542274,0.243916742922089978,9.802614748258,0.284022281877999937,27.542267314849,0
